Stove Kraft tumbles for 10th straight day down 26% from March highs, 2021-03-19 09:46:23.082972, 2 hours ago ,  Stove Kraft is a kitchen appliances market and owns brands like Pigeon Gilma ... over its issue price of Rs 385 per share on the National Stock Exchange (NSE)., https://www.business-standard.com/article/markets/stove-kraft-trades-lower-for-10th-straight-day-down-26-from-march-high-121031900472_1.html 
Easy Trip Planners lists at over 10% premium on stock markets, 2021-03-19 09:46:23.083961, 2 hours ago ,  Shares of Easy Trip Planners on Friday got listed on the stock market at a premium of over 10 per cent on the Bombay Stock Exchange (BSE) and the National..., https://www.indiatoday.in/business/story/easy-trip-planners-lists-at-over-10-premium-on-stock-markets-1781082-2021-03-19 
China's Tuya soars in US stock market debut, 2021-03-19 09:46:23.083961, 2 hours ago ,  China's Tuya soars in US stock market debut ... company raised $915.4 million in its IPO after it priced 43.6 million American depositary shares at $21 apiece., https://pitchbook.com/newsletter/chinas-tuya-soars-in-us-stock-market-debut 
China's Tuya soars in US stock market debut, 2021-03-19 09:46:23.602576, 2 hours ago ,  China's Tuya soars in US stock market debut ... company raised $915.4 million in its IPO after it priced 43.6 million American depositary shares at $21 apiece., https://pitchbook.com/newsletter/chinas-tuya-soars-in-us-stock-market-debut 
European stock markets today: Bond yields oil prices vaccines in ..., 2021-03-19 09:46:23.603603, 2 hours ago ,  LONDON — European markets pulled back on Friday after a spike in bond yields reignited concerns about stock valuations and prompted a sell-off on Wall..., https://www.cnbc.com/2021/03/19/european-stock-markets-today-bond-yields-oil-prices-vaccines-in-focus.html 
Hofseth Biocare ASA: HBC Annual Report 2020 and ESG Report, 2021-03-19 09:46:23.603603, 2 hours ago ,  HBC is listed on Oslo Stock Exchange with ticker "HBC". More information about Hofseth BioCare at hofsethbiocare.com and facebook.com/hofsethbiocare., https://www.globenewswire.com/news-release/2021/03/19/2195934/0/en/Hofseth-Biocare-ASA-HBC-Annual-Report-2020-and-ESG-Report.html 
BGHL (GBP): NAV(s) Amsterdam Stock Exchange:BGHS, 2021-03-19 09:46:23.603603, 2 hours ago ,  BGHL (GBP): NAV(s) Amsterdam Stock Exchange:BGHS. Date. 3/19/2021 2:41:22 AM., https://menafn.com/1101777583/BGHL-GBP-NAVs-Amsterdam-Stock-ExchangeBGHS 
LONDON MARKET EARLY CALL: Stocks to follow Asia lower; BoJ ..., 2021-03-19 09:46:23.604571, 2 hours ago ,  (Alliance News) - Stock prices in London are seen opening lower on Friday tracking steep declines in Asian equity markets as US government bond yields..., https://www.morningstar.co.uk/uk/news/AN_1616137326974614900/london-market-early-call-stocks-to-follow-asia-lower%3B-boj-holds-rates.aspx 
Adevinta ASA (ADE) - Repurchase of shares by Adevinta ASA Oslo ..., 2021-03-19 09:46:23.604571, 2 hours ago ,  From 11 March 2021 until 18 March 2021 Adevinta ASA has purchased a total of 737000 own shares at the Oslo Stock Exchange at an average price of NOK..., https://www.globenewswire.com/news-release/2021/03/19/2195930/0/en/Adevinta-ASA-ADE-Repurchase-of-shares-by-Adevinta-ASA.html 
Nomination Committee proposal for Chairman and new Board ..., 2021-03-19 09:46:23.604571, 2 hours ago ,  ... AB (publ) is obliged to make public pursuant to the EU Market Abuse Regulation. ... Kinnevik's shares are listed on Nasdaq Stockholm's list for large cap..., http://www.globenewswire.com/news-release/2021/03/19/2195932/0/en/Nomination-Committee-proposal-for-Chairman-and-new-Board-Member.html 
Company Events - 7 Days Ahead Events | 19 March 2021, 2021-03-19 09:46:23.605567, 2 hours ago ,  ... for investors to learn more about companies on the stock market and hear from a range of investment experts including fund managers and Shares journalists., https://www.stockmarketwire.com/article/7197525/Company-Events-7-Days-Ahead-Events.html 
Equinor annual and sustainability reports for 2020 Oslo Stock ..., 2021-03-19 09:46:23.605567, 2 hours ago ,  As a reaction to the market uncertainty and to further strengthen financial ... In accordance with Section 203.01 of the New York Stock Exchange Listed..., https://www.globenewswire.com/news-release/2021/03/19/2195924/0/en/Equinor-annual-and-sustainability-reports-for-2020.html 
Here's Why We Think Bulgarian Stock Exchange AD (BUL:BSE) Is ..., 2021-03-19 09:46:23.605567, 2 hours ago ,  When they buy such story stocks investors are all too often the patsy. In contrast to all that I prefer to spend time on companies like Bulgarian Stock Exchange AD (..., https://simplywall.st/stocks/bg/diversified-financials/bul-bse/bulgarian-stock-exchange-ad-shares/news/heres-why-we-think-bulgarian-stock-exchange-ad-bulbse-is-wel 
Asia Set to Track US Stock Slump; Oil Tumbles: Markets Wrap, 2021-03-19 09:46:24.079406, 2 hours ago ,  Government bonds and the yen were little changed on the announcement. Stocks Drop as Treasuries Crude Oil Hold Losses: Markets Wrap. Fed Chair Jerome..., https://www.bloombergquint.com/markets/asia-set-to-track-u-s-stock-slump-oil-tumbles-markets-wrap 
Market LIVE Updates: Indices Flat Amid High Volatility; Bajaj ..., 2021-03-19 09:46:24.080370, 2 hours ago ,  Market LIVE Updates: Indices flat amid high volatility; Bajaj Finance L&T top losers FMCG stocks gain. FMCG index added 1 percent while auto and metal indices..., https://www.moneycontrol.com/news/business/markets/share-market-live-updates-stock-market-today-march-19-latest-news-bse-nse-sensex-nifty-gail-india-godrej-industriesdeepak-nitriteicranava-bharat-venturesindo-count-industriesvaibhav-globalhathwaeasy-6665251.html 
Stock Markets Today: AstraZeneca Vaccine Central Banks US ..., 2021-03-19 09:46:24.080370, 3 hours ago ,  Here's what's moving markets. ... Emerging-market policymakers were bolder. ... of this money into stock markets though with the economy opening back up the..., https://www.bloomberg.com/news/newsletters/2021-03-19/stock-markets-today-astrazeneca-vaccine-central-banks-u-s-china-talks 
Sampo plc: Disclosure Under Chapter 9 Section 5 of the Securities ..., 2021-03-19 09:46:24.080370, 3 hours ago ,  SAMPO PLC STOCK EXCHANGE RELEASE 19 March 2021 at 8:30 am. Disclosure Under Chapter 9 Section 5 of the Securities Market Act (BlackRock Inc.)., https://www.globenewswire.com/news-release/2021/03/19/2195923/0/en/Sampo-plc-Disclosure-Under-Chapter-9-Section-5-of-the-Securities-Market-Act-BlackRock-Inc.html 
BGHL (GBP): NAV(s) Amsterdam Stock Exchange:BGHS, 2021-03-19 09:46:24.081377, 3 hours ago ,  The Class B Euro Shares of BG Fund are not subject to investment manager ... to trading on the London Stock Exchange plc's main market for listed securities., http://www.globenewswire.com/news-release/2021/03/19/2195915/0/en/BGHL-GBP-NAV-s.html 
Anil Singhvi Stock Market Tips: Markets volatile should you buy sell ..., 2021-03-19 09:46:24.081377, 3 hours ago ,  Anil Singhvi Stock Market Tips: Stock markets in India have been extremely volatile recently. The trend is reflecting today too - Sensex was down by 274 points., https://www.zeebiz.com/market-news/news-anil-singhvi-stock-market-tips-markets-volatile-should-you-buy-sell-or-hold-market-guru-reveals-strategy-153118 
Stock market updates, 2021-03-19 09:46:24.081377, 3 hours ago ,  Stock market updates ... The stocks active this week were DIH DDL DTC and BTI. ... DIH's shares were traded at a Mean Weighted Average Price (MWAP) of..., https://www.stabroeknews.com/2021/03/19/business/stock-market-updates/stock-market-updates-599/ 
Parrot: 2020 full-year earnings Paris Stock Exchange:PARRO, 2021-03-19 09:46:24.082364, 3 hours ago ,  Product portfolio's realignment around commercial markets finalized ... to build on the highest standards of security and transparency to conquer market shares., https://www.globenewswire.com/news-release/2021/03/19/2195910/0/en/Parrot-2020-full-year-earnings.html 
Arcadis reports transactions under its current share buyback program, 2021-03-19 09:46:24.082364, 3 hours ago ,  The total number of shares repurchased under this program to date is ... inside information within the meaning of Article 7(1) of the EU Market Abuse Regulation., https://www.globenewswire.com/news-release/2021/03/19/2195907/0/en/Arcadis-reports-transactions-under-its-current-share-buyback-program.html 
Chinese Software Company Tuya Raised $915 Million from the US ..., 2021-03-19 09:46:24.082364, 3 hours ago ,  According to reports from Bloomberg the company offered 43.59 million American depositary shares at $21. After acquiring $915 million from the stock market the..., https://pandaily.com/chinese-software-company-tuya-raised-915-million-from-the-u-s-stock-market/ 
Share Market Today LIVE | Sensex Nifty BSE NSE Share Prices ..., 2021-03-19 09:46:24.629566, 4 hours ago ,  Nifty Bank index was trading at 33442.70 down 1.22 per cent. Easy Trip Planners shares began trading at Rs 206 per share up Rs 19 from the upper band of the..., https://www.financialexpress.com/market/share-market-today-live-updates-sensex-nifty-rupee-vs-dollar-easy-trip-planners-shares-fdi-insurance-us-bond-yields-crude-oil-march-19-friday/2215779/ 
The Big Bull Trailer: Stock Market & A Scam, 2021-03-19 09:46:24.630567, 4 hours ago ,  The series is based on the biggest scam that ever happened in the country. Stockbroker Harshad Mehta took the stock market to dizzying heights and had a..., https://www.gulte.com/movienews/71178/the-big-bull-trailer-stock-market-a-scam 
Stock of the Day: Market Guru Anil Singhvi picks this investor ..., 2021-03-19 09:46:24.630567, 4 hours ago ,  On his suggestion to the stock market traders and investors in regard to the Aarti Drugs shares the Market Guru said "One can buy Aarti Drugs shares at current..., https://www.zeebiz.com/market-news/news-stock-of-the-day-market-guru-anil-singhvi-picks-this-investor-friendly-company-today-aarti-drugs-153110 
Bond managers say pace of rise in US bond yields 'unsettling', 2021-03-19 09:46:24.630567, 4 hours ago ,  The recent pace of the rise in yields in the U.S. Treasury market has been ... floor of the New York Stock Exchange (NYSE) in New York U.S. March 27 2017., https://www.channelnewsasia.com/news/business/bond-managers-say-pace-of-rise-in-us-bond-yields--unsettling--14444304 
Asian Stock Market: Bears cheer US-China jitters BOJ moves, 2021-03-19 09:46:24.631598, 4 hours ago ,  Asian Stock Market: Bears cheer US-China jitters BOJ moves , https://www.forexcrunch.com/asian-stock-market-bears-cheer-us-china-jitters-boj-moves/ 
MARKET LIVE: Indices off days low; Easy Trip Planners lists at 13 ..., 2021-03-19 09:46:24.631598, 4 hours ago ,  Among other individual stocks Future Retail shares tumbled 10 per cent after the Delhi High Court upheld the Emergency Award that Amazon had won against..., https://www.business-standard.com/article/markets/market-live-markets-sgx-nifty-gail-ril-sbi-life-infosys-easy-trip-121031900147_1.html 
Wile E. Coyote Stocks Near the Cliff Edge as Bond Yields Rise, 2021-03-19 09:46:24.631598, 4 hours ago ,  With bond yields rising inexorably better hope that the market doesn't look down. By. John Authers. March 18 2021 10:02 PM PDT..., https://www.bloomberg.com/opinion/articles/2021-03-19/wile-e-coyote-stocks-near-the-cliff-edge-as-bond-yields-rise 
Sensex tanks over 600 points in early trade; Nifty slips below 14400 ..., 2021-03-19 09:46:24.632558, 4 hours ago ,  Share Market News Today Stock Prices: The 30-share BSE index was trading 617.10 points or 1.25 per cent lower at 48599.42 and the broader NSE Nifty fell..., https://indianexpress.com/article/business/market/share-market-today-live-updates-bse-sensex-nse-nifty-rupee-shares-fdi-insurance-bond-yields-crude-oil-friday-march-19-7235279/ 
